RADNIK;SATI;RADNAL;DatumRacuna;pcentar
122;1,80;71108;28.1.2008
122;0,30;71117;28.1.2008
122;2,70;71124;28.1.2008
128;2,00;70583;28.1.2008
128;5,00;70818;28.1.2008
143;4,10;68308;28.1.2008
143;0,50;70377;28.1.2008
143;3,30;70706;28.1.2008
143;1,60;70990;28.1.2008
143;1,70;71035;28.1.2008
143;0,20;71095;28.1.2008
150;21,00;70818;28.1.2008
155;1,50;69503;28.1.2008
155;3,80;70827;28.1.2008
167;0,90;70722;28.1.2008
174;1,00;70583;28.1.2008
179;1,80;71109;28.1.2008
179;1,80;71126;28.1.2008
47;1,00;69979;29.1.2008
47;1,00;70466;29.1.2008
47;1,00;70605;29.1.2008
47;1,00;70606;29.1.2008
47;1,00;70861;29.1.2008
47;1,00;71005;29.1.2008
47;1,00;71008;29.1.2008
47;1,00;71045;29.1.2008
58;6,00;70164;29.1.2008
102;3,20;70702;29.1.2008
105;13,50;69979;29.1.2008
111;0,40;70076;29.1.2008
111;1,20;70235;29.1.2008
111;14,00;70567;29.1.2008
111;2,40;70849;29.1.2008
111;0,30;71129;29.1.2008
111;1,70;71147;29.1.2008
111;0,20;71168;29.1.2008
118;1,50;70164;29.1.2008
118;4,40;70794;29.1.2008
122;2,80;71136;29.1.2008
122;2,50;71142;29.1.2008
122;1,80;71164;29.1.2008
124;9,50;70466;29.1.2008
124;5,00;70860;29.1.2008
124;5,00;70861;29.1.2008
124;5,00;71005;29.1.2008
124;8,00;71008;29.1.2008
124;8,00;71045;29.1.2008
128;9,00;69979;29.1.2008
128;0,50;70544;29.1.2008
128;4,00;70605;29.1.2008
128;4,00;70606;29.1.2008
143;0,30;71012;29.1.2008
143;0,50;71140;29.1.2008
150;10,00;70466;29.1.2008
150;2,00;70772;29.1.2008
150;5,20;71005;29.1.2008
155;2,00;70506;29.1.2008
155;0,50;70569;29.1.2008
155;4,00;70702;29.1.2008
155;0,70;71065;29.1.2008
155;1,30;71066;29.1.2008
161;2,20;71132;29.1.2008
161;1,80;71135;29.1.2008
161;2,70;71150;29.1.2008
161;2,30;71151;29.1.2008
164;0,50;70544;29.1.2008
171;13,00;69979;29.1.2008
172;5,00;70606;29.1.2008
172;5,00;70860;29.1.2008
172;5,50;71008;29.1.2008
174;3,70;70605;29.1.2008
174;5,50;70606;29.1.2008
174;3,20;70860;29.1.2008
174;6,50;70861;29.1.2008
174;7,00;71008;29.1.2008
174;0,50;71156;29.1.2008
178;2,70;71139;29.1.2008
178;0,70;71144;29.1.2008
178;2,30;71152;29.1.2008
179;1,80;71153;29.1.2008
33;0,40;69702;30.1.2008
33;2,60;69757;30.1.2008
33;5,50;70999;30.1.2008
33;6,50;71173;30.1.2008
47;1,00;68622;30.1.2008
47;1,00;70052;30.1.2008
47;1,00;70232;30.1.2008
47;1,00;70666;30.1.2008
54;0,10;71160;30.1.2008
54;1,00;71186;30.1.2008
90;1,10;70810;30.1.2008
90;3,80;71154;30.1.2008
90;3,00;71170;30.1.2008
105;29,70;68622;30.1.2008
105;28,00;70232;30.1.2008
105;5,00;70666;30.1.2008
111;3,10;69757;30.1.2008
111;0,30;71195;30.1.2008
118;1,20;70810;30.1.2008
118;4,00;70947;30.1.2008
118;0,60;71110;30.1.2008
118;0,90;71181;30.1.2008
122;0,70;71141;30.1.2008
122;0,30;71161;30.1.2008
122;1,10;71162;30.1.2008
122;4,80;71171;30.1.2008
122;2,70;71192;30.1.2008
124;8,50;70052;30.1.2008
124;7,00;70232;30.1.2008
124;2,00;70666;30.1.2008
128;14,00;68622;30.1.2008
143;3,70;70590;30.1.2008
143;5,00;70927;30.1.2008
143;0,20;71116;30.1.2008
150;11,00;70052;30.1.2008
167;2,70;70940;30.1.2008
171;29,00;68622;30.1.2008
171;27,00;70232;30.1.2008
171;5,00;70666;30.1.2008
175;7,00;70232;30.1.2008
175;3,00;70666;30.1.2008
